date, value
1/4/1999,1.1825
1/5/1999,1.1774
1/6/1999,1.1622
1/7/1999,1.1706
1/8/1999,1.1577
1/11/1999,1.1498
1/12/1999,1.1564
1/13/1999,1.1663
1/14/1999,1.17
1/15/1999,1.1553
1/19/1999,1.1605
1/20/1999,1.1557
1/21/1999,1.1591
1/22/1999,1.1585
1/25/1999,1.1549
1/26/1999,1.156
1/27/1999,1.1423
1/28/1999,1.1412
1/29/1999,1.1357
2/1/1999,1.1298
2/2/1999,1.1339
2/3/1999,1.13
2/4/1999,1.1328
2/5/1999,1.1259
2/8/1999,1.1324
2/9/1999,1.1303
2/10/1999,1.1326
2/11/1999,1.1233
2/12/1999,1.1275
2/16/1999,1.1205
2/17/1999,1.1245
2/18/1999,1.12
2/19/1999,1.1076
2/22/1999,1.103
2/23/1999,1.101
2/24/1999,1.1
2/25/1999,1.104
2/26/1999,1.1026
3/1/1999,1.0885
3/2/1999,1.0933
3/3/1999,1.0889
3/4/1999,1.0807
3/5/1999,1.0825
3/8/1999,1.0883
3/9/1999,1.0885
3/10/1999,1.0946
3/11/1999,1.103
3/12/1999,1.0907
3/15/1999,1.0933
3/16/1999,1.0996
3/17/1999,1.0994
3/18/1999,1.0966
3/19/1999,1.0893
3/22/1999,1.0911
3/23/1999,1.0911
3/24/1999,1.0888
3/25/1999,1.0841
3/26/1999,1.0765
3/29/1999,1.073
3/30/1999,1.0713
3/31/1999,1.0766
4/1/1999,1.078
4/5/1999,1.0713
4/6/1999,1.0835
4/7/1999,1.0773
4/8/1999,1.0743
4/9/1999,1.0791
4/12/1999,1.0813
4/13/1999,1.0769
4/14/1999,1.08
4/15/1999,1.0703
4/16/1999,1.07
4/19/1999,1.0658
4/20/1999,1.0631
4/21/1999,1.061
4/22/1999,1.0642
4/23/1999,1.0613
4/26/1999,1.0585
4/27/1999,1.0664
4/28/1999,1.0633
4/29/1999,1.0587
4/30/1999,1.058
5/3/1999,1.0571
5/4/1999,1.0623
5/5/1999,1.0755
5/6/1999,1.0799
5/7/1999,1.0756
5/10/1999,1.0785
5/11/1999,1.0714
5/12/1999,1.065
5/13/1999,1.0661
5/14/1999,1.0661
5/17/1999,1.0669
5/18/1999,1.0672
5/19/1999,1.0661
5/20/1999,1.0623
5/21/1999,1.0575
5/24/1999,1.0594
5/25/1999,1.0603
5/26/1999,1.044
5/27/1999,1.0432
5/28/1999,1.041
6/1/1999,1.0452
6/2/1999,1.0355
6/3/1999,1.0324
6/4/1999,1.0372
6/7/1999,1.0288
6/8/1999,1.046
6/9/1999,1.047
6/10/1999,1.0479
6/11/1999,1.0535
6/14/1999,1.0421
6/15/1999,1.0426
6/16/1999,1.0298
6/17/1999,1.0335
6/18/1999,1.0388
6/21/1999,1.0348
6/22/1999,1.0323
6/23/1999,1.033
6/24/1999,1.0421
6/25/1999,1.043
6/28/1999,1.0349
6/29/1999,1.0328
6/30/1999,1.0338
7/1/1999,1.0233
7/2/1999,1.0255
7/6/1999,1.0236
7/7/1999,1.0215
7/8/1999,1.0217
7/9/1999,1.0176
7/12/1999,1.0145
7/13/1999,1.0165
7/14/1999,1.0204
7/15/1999,1.0191
7/16/1999,1.0196
7/19/1999,1.0295
7/20/1999,1.0408
7/21/1999,1.0537
7/22/1999,1.0514
7/23/1999,1.0495
7/26/1999,1.065
7/27/1999,1.0621
7/28/1999,1.0665
7/29/1999,1.0724
7/30/1999,1.0697
8/2/1999,1.0693
8/3/1999,1.0682
8/4/1999,1.0772
8/5/1999,1.0754
8/6/1999,1.0745
8/9/1999,1.0715
8/10/1999,1.0707
8/11/1999,1.0652
8/12/1999,1.0668
8/13/1999,1.0568
8/16/1999,1.058
8/17/1999,1.0512
8/18/1999,1.0519
8/19/1999,1.0638
8/20/1999,1.0665
8/23/1999,1.0493
8/24/1999,1.0531
8/25/1999,1.0416
8/26/1999,1.0435
8/27/1999,1.0457
8/30/1999,1.0466
8/31/1999,1.0573
9/1/1999,1.0586
9/2/1999,1.0679
9/3/1999,1.0613
9/7/1999,1.0586
9/8/1999,1.0592
9/9/1999,1.0541
9/10/1999,1.0363
9/13/1999,1.0417
9/14/1999,1.0352
9/15/1999,1.0392
9/16/1999,1.0378
9/17/1999,1.0408
9/20/1999,1.0352
9/21/1999,1.0488
9/22/1999,1.0436
9/23/1999,1.0485
9/24/1999,1.0442
9/27/1999,1.0469
9/28/1999,1.053
9/29/1999,1.0644
9/30/1999,1.0695
10/1/1999,1.0724
10/4/1999,1.0737
10/5/1999,1.0734
10/6/1999,1.0689
10/7/1999,1.0714
10/8/1999,1.063
10/11/1999,1.0643
10/12/1999,1.0759
10/13/1999,1.0802
10/14/1999,1.0785
10/15/1999,1.0887
10/18/1999,1.083
10/19/1999,1.0832
10/20/1999,1.0739
10/21/1999,1.0806
10/22/1999,1.0684
10/25/1999,1.0667
10/26/1999,1.0587
10/27/1999,1.0505
10/28/1999,1.0512
10/29/1999,1.0541
11/1/1999,1.0503
11/2/1999,1.0518
11/3/1999,1.0484
11/4/1999,1.0372
11/5/1999,1.0419
11/8/1999,1.0384
11/9/1999,1.0402
11/10/1999,1.0442
11/11/1999,1.0412
11/12/1999,1.0315
11/15/1999,1.033
11/16/1999,1.0309
11/17/1999,1.0407
11/18/1999,1.0294
11/19/1999,1.0304
11/22/1999,1.0315
11/23/1999,1.0279
11/24/1999,1.0188
11/26/1999,1.0162
11/29/1999,1.0095
11/30/1999,1.0089
12/1/1999,1.0081
12/2/1999,1.0012
12/3/1999,1.002
12/6/1999,1.0224
12/7/1999,1.0255
12/8/1999,1.0276
12/9/1999,1.0206
12/10/1999,1.0125
12/13/1999,1.0138
12/14/1999,1.0055
12/15/1999,1.0063
12/16/1999,1.0162
12/17/1999,1.0086
12/20/1999,1.0137
12/21/1999,1.0098
12/22/1999,1.0087
12/23/1999,1.0153
12/27/1999,1.0121
12/28/1999,1.0066
12/29/1999,1.004
12/30/1999,1.0066
12/31/1999,1.0088
1/3/2000,1.0088
1/4/2000,1.0301
1/5/2000,1.0315
1/6/2000,1.0315
1/7/2000,1.0296
1/10/2000,1.0254
1/11/2000,1.0331
1/12/2000,1.0308
1/13/2000,1.0252
1/14/2000,1.0142
1/18/2000,1.0135
1/19/2000,1.0125
1/20/2000,1.0175
1/21/2000,1.0085
1/24/2000,1.007
1/25/2000,1.0009
1/26/2000,1.0014
1/27/2000,0.9882
1/28/2000,0.9769
1/31/2000,0.9688
2/1/2000,0.9721
2/2/2000,0.9765
2/3/2000,0.99
2/4/2000,0.9821
2/7/2000,0.98
2/8/2000,0.986
2/9/2000,0.9927
2/10/2000,0.9851
2/11/2000,0.9866
2/14/2000,0.98
2/15/2000,0.981
2/16/2000,0.9865
2/17/2000,0.988
2/18/2000,0.9848
2/22/2000,1.0037
2/23/2000,1.0034
2/24/2000,0.9924
2/25/2000,0.9744
2/28/2000,0.9714
2/29/2000,0.9645
3/1/2000,0.9732
3/2/2000,0.9651
3/3/2000,0.9582
3/6/2000,0.9586
3/7/2000,0.9581
3/8/2000,0.9607
3/9/2000,0.9667
3/10/2000,0.9632
3/13/2000,0.9633
3/14/2000,0.9681
3/15/2000,0.9668
3/16/2000,0.969
3/17/2000,0.9718
3/20/2000,0.9729
3/21/2000,0.9608
3/22/2000,0.9606
3/23/2000,0.9715
3/24/2000,0.9753
3/27/2000,0.9671
3/28/2000,0.9594
3/29/2000,0.9512
3/30/2000,0.9615
3/31/2000,0.9554
4/3/2000,0.9555
4/4/2000,0.9592
4/5/2000,0.9623
4/6/2000,0.9583
4/7/2000,0.9545
4/10/2000,0.9623
4/11/2000,0.959
4/12/2000,0.9587
4/13/2000,0.9528
4/14/2000,0.962
4/17/2000,0.9523
4/18/2000,0.9453
4/19/2000,0.9401
4/20/2000,0.9383
4/24/2000,0.9378
4/25/2000,0.9203
4/26/2000,0.923
4/27/2000,0.9093
4/28/2000,0.9113
5/1/2000,0.9154
5/2/2000,0.9093
5/3/2000,0.8941
5/4/2000,0.8896
5/5/2000,0.8971
5/8/2000,0.8974
5/9/2000,0.9073
5/10/2000,0.9065
5/11/2000,0.9014
5/12/2000,0.918
5/15/2000,0.9112
5/16/2000,0.9003
5/17/2000,0.8948
5/18/2000,0.8945
5/19/2000,0.897
5/22/2000,0.9028
5/23/2000,0.9066
5/24/2000,0.9038
5/25/2000,0.9113
5/26/2000,0.9307
5/30/2000,0.9301
5/31/2000,0.9373
6/1/2000,0.9309
6/2/2000,0.9458
6/5/2000,0.9477
6/6/2000,0.9542
6/7/2000,0.9613
6/8/2000,0.9559
6/9/2000,0.953
6/12/2000,0.9532
6/13/2000,0.9594
6/14/2000,0.9577
6/15/2000,0.9544
6/16/2000,0.9645
6/19/2000,0.9564
6/20/2000,0.9545
6/21/2000,0.9443
6/22/2000,0.9354
6/23/2000,0.9351
6/26/2000,0.9365
6/27/2000,0.9452
6/28/2000,0.941
6/29/2000,0.9515
6/30/2000,0.9525
7/3/2000,0.95
7/5/2000,0.9527
7/6/2000,0.9507
7/7/2000,0.9481
7/10/2000,0.9549
7/11/2000,0.9524
7/12/2000,0.9423
